ODF25 Comdty,ODF27 Comdty,GOOG Equity,GOOGL Equity,PETR4 Equity
12.02,12.07,39.821,40.76,14.35
11.82,11.88,39.728,40.61,14.34
11.73,11.77,39.563,40.484,14.01
11.7,11.74,39.496,40.39,14.24
11.66,11.7,,,14.42
11.66,11.69,39.578,40.497,14.41
11.66,11.68,39.253,40.229,14.78
11.67,11.66,39.14,40.144,14.87
,,38.591,39.623,
11.45,11.48,,,14.66
11.47,11.48,39.307,40.401,15.5
11.63,11.68,39.345,40.389,15.5
11.56,11.61,39.701,40.651,15.75
11.58,11.62,40.308,41.261,15.66
11.5,11.56,40.332,41.359,15.33
11.4,11.42,40.24,41.301,15.48
11.45,11.48,40.396,41.493,15.66
11.16,11.23,40.318,41.477,15.9
11.2,11.28,40.394,41.547,15.68
11.16,11.22,,,15.75
11.13,11.21,40.231,41.373,15.82
11.19,11.28,40.304,41.451,15.79
11.1,11.19,40.109,41.219,15.77
11.03,11.14,40.251,41.409,16.0
10.99,11.07,40.966,42.222,15.99
10.97,11.04,41.194,42.477,16.04
,,41.784,42.923,
11.05,11.11,41.608,42.849,15.8
10.95,10.99,41.165,42.252,15.62
11.03,11.06,40.116,41.192,14.84
11.06,11.11,39.84,41.01,15.02
11.03,11.07,39.785,40.762,15.02
10.93,10.96,39.927,40.913,14.89
10.77,10.79,40.075,41.007,15.34
10.74,10.77,40.067,41.081,14.96
10.66,10.7,40.349,41.462,14.7
10.56,10.59,40.419,41.494,15.1
10.56,10.59,40.478,41.503,15.05
10.51,10.54,40.683,41.743,15.58
10.5,10.55,40.962,41.948,15.62
10.53,10.57,41.023,42.002,15.82
10.48,10.53,40.949,41.866,15.84
10.58,10.63,41.208,42.109,15.86
10.54,10.58,41.404,42.328,15.61
10.51,10.56,,,15.92
10.44,10.5,41.583,42.463,16.09
10.44,10.48,41.538,42.568,15.7
10.28,10.35,41.567,42.55,15.56
10.38,10.43,41.432,42.39,15.18
,,41.464,42.484,
,,41.161,42.247,
10.33,10.37,41.762,42.838,15.52
10.47,10.53,41.532,42.493,15.11
10.34,10.41,41.454,42.454,15.32
10.31,10.38,41.389,42.364,15.1
10.34,10.4,41.596,42.558,15.18
10.45,10.52,41.769,42.682,14.55
10.53,10.6,41.934,42.892,14.5
10.34,10.41,42.163,43.07,14.31
10.32,10.38,42.277,43.229,14.37
10.47,10.53,42.281,43.296,13.59
10.33,10.39,42.36,43.42,14.2
10.35,10.41,42.439,43.5,13.71
10.33,10.41,42.606,43.619,13.16
10.35,10.41,42.42,43.396,13.6
10.3,10.36,41.523,42.507,13.0
10.36,10.44,41.48,42.49,13.66
10.37,10.45,40.879,41.983,13.57
10.21,10.27,40.722,41.757,13.48
10.19,10.27,40.976,41.926,13.77
10.26,10.34,41.046,42.032,13.95
10.22,10.3,41.57,42.494,14.45
10.21,10.29,41.575,42.474,14.45
10.21,10.29,41.478,42.39,14.49
10.15,10.22,41.927,42.838,14.67
10.1,10.17,41.729,42.629,14.85
10.16,10.24,41.57,42.445,14.57
10.34,10.4,41.394,42.255,14.53
10.27,10.33,41.234,42.105,14.7
10.14,10.22,41.237,42.085,14.94
10.19,10.27,41.168,41.994,14.68
10.24,10.32,41.216,42.073,14.65
10.33,10.41,41.178,42.009,14.08
10.28,10.37,41.859,42.757,14.28
10.27,10.36,41.841,42.7,14.1
10.32,10.42,41.911,42.826,13.6
10.35,10.44,42.082,43.004,13.88
,,42.16,42.948,
10.31,10.41,43.138,43.947,14.03
10.5,10.59,43.615,44.442,14.34
10.53,10.63,43.587,44.457,14.0
10.55,10.65,43.713,44.572,13.73
10.48,10.57,45.298,46.226,13.97
,,45.629,46.641,
